lat,lon,streetname,country
46.5438105,15.6490454,Titova - Nasipna,slovenia
46.544603,15.6488038,Titova - Nasipna,slovenia
46.5414255,15.6484224,Titova - Prol. brigad,slovenia
46.5398051,15.6463444,Prol. brigad - Titova,slovenia
46.5545507,15.6508086,Titov most,slovenia
46.5576561,15.650895,Titova cesta,slovenia
46.5562037,15.6507418,Titov most,slovenia
45.7698647,14.1970378,Titova cesta,slovenia
46.3586873,15.116171,Titov trg,slovenia
46.4367862,14.0538143,Cesta maršala Tita,slovenia
46.4343383,14.0516346,Cesta maršala Tita,slovenia
46.4371628,14.0511555,Cesta maršala Tita,slovenia
46.4386563,14.0482756,Cesta maršala Tita,slovenia
46.5544113,15.6502193,Titova cesta,slovenia
46.5602524,15.6510315,Titova cesta,slovenia
45.774644,14.2129239,Titova cesta,slovenia
46.1837083,13.7342977,Trg maršala Tita,slovenia
46.5591113,15.6513172,Titova cesta,slovenia
46.5529122,15.650255,Titova cesta,slovenia
45.772172,14.2082308,Titova cesta,slovenia
45.7726873,14.2106451,Titova cesta,slovenia
46.4353674,14.0521938,Cesta maršala Tita,slovenia
46.4370486,14.0530568,Cesta maršala Tita,slovenia
46.5595709,15.6511247,Titova cesta,slovenia
45.5644983,14.248474,Trg maršala Tita,slovenia
46.4379279,14.0478952,Cesta maršala Tita,slovenia
46.5547522,15.6505296,Titova cesta,slovenia
46.5603343,15.6515499,Titova cesta,slovenia
46.5444708,15.6489671,Titova cesta,slovenia
46.5578353,15.6510143,Titova cesta,slovenia
46.5547479,15.6506296,Titova cesta,slovenia
46.5582303,15.6510945,Titova cesta,slovenia
46.5529122,15.6503592,Titova cesta,slovenia
46.5562016,15.6508397,Titov most,slovenia
46.6464214,16.0375466,Titova ulica,slovenia
46.5128094,16.4389839,Ulica Josipa Broza-Tita,slovenia
46.5490066,15.6490582,Titova cesta,slovenia
46.5443212,15.6488736,Titova cesta,slovenia
45.771745,14.2055193,Titova cesta,slovenia
45.771459,14.2043802,Titova cesta,slovenia
46.4350262,14.0520798,Cesta maršala Tita,slovenia
46.4344527,14.0517233,Cesta maršala Tita,slovenia
46.5509043,15.6498136,Titova cesta,slovenia
46.5490286,15.6489586,Titova cesta,slovenia
46.5580951,15.6508429,Titova cesta,slovenia
45.548189,13.729602,Titov trg / Piazza Tito,slovenia
46.5601782,15.6513308,Titova cesta,slovenia
45.9190139,14.2226564,Titova ulica,slovenia
46.5600489,15.6513777,Titova cesta,slovenia
46.5589338,15.6510494,Titova cesta,slovenia
46.5581767,15.6509534,Titova cesta,slovenia
46.5599985,15.6514439,Titova cesta,slovenia
45.565051,14.2489876,Trg maršala Tita,slovenia
45.5642865,14.2488128,Trg maršala Tita,slovenia
46.1823929,13.7340017,Trg maršala Tita,slovenia
46.182667,13.7348445,Trg maršala Tita,slovenia
46.5578926,15.6509978,Titova cesta,slovenia
46.5581404,15.6510121,Titova cesta,slovenia
46.5579466,15.6508347,Titova cesta,slovenia
46.5579908,15.6511619,Titova cesta,slovenia
46.551085,15.6496221,Titova cesta,slovenia
46.0644981,15.1706025,Titova ulica,slovenia
46.5510776,15.6501826,Titova cesta,slovenia
46.5512775,15.6499482,Titova cesta,slovenia
46.5103301,16.4349419,Josipa Broza Tita,slovenia
46.4363495,14.0565634,Cesta maršala Tita,slovenia
46.4365847,14.0549269,Cesta maršala Tita,slovenia
46.4366688,14.0526918,Cesta maršala Tita,slovenia
46.4368333,14.0535864,Cesta maršala Tita,slovenia
46.4366386,14.0536274,Cesta maršala Tita,slovenia
46.4361621,14.0579576,Cesta maršala Tita,slovenia
46.4367529,14.053699,Cesta maršala Tita,slovenia
46.4417174,14.038078,Cesta maršala Tita,slovenia
46.4419384,14.0369406,Cesta maršala Tita,slovenia
46.4418568,14.0371771,Cesta maršala Tita,slovenia
46.4440119,14.0316296,Cesta maršala Tita,slovenia
46.4416092,14.0384368,Cesta maršala Tita,slovenia
46.4420817,14.0366178,Cesta maršala Tita,slovenia
46.4423395,14.0362426,Cesta maršala Tita,slovenia
46.4429093,14.0354942,Cesta maršala Tita,slovenia
46.4375442,14.0506002,Cesta maršala Tita,slovenia
46.4368566,14.0513004,Cesta maršala Tita,slovenia
46.4363275,14.0596994,Cesta maršala Tita,slovenia
46.4430431,14.0352577,Cesta maršala Tita,slovenia
46.4399424,14.04367,Cesta maršala Tita,slovenia
46.435936,14.0592872,Cesta maršala Tita,slovenia
46.4364648,14.0557117,Cesta maršala Tita,slovenia
46.4404405,14.0413243,Cesta maršala Tita,slovenia
46.4369063,14.0535811,Cesta maršala Tita,slovenia
46.4358735,14.0594785,Cesta maršala Tita,slovenia
46.4358124,14.0596456,Cesta maršala Tita,slovenia
46.4424663,14.036077,Cesta maršala Tita,slovenia
46.4432303,14.0347735,Cesta maršala Tita,slovenia
46.4365083,14.0554264,Cesta maršala Tita,slovenia
46.4366616,14.0541931,Cesta maršala Tita,slovenia
45.7712111,14.203181,Titova cesta,slovenia
45.7705279,14.2003468,Titova cesta,slovenia
45.7736468,14.2117448,Titova cesta,slovenia
46.4366268,14.0525711,Cesta maršala Tita,slovenia
45.7715915,14.205588,Titova cesta,slovenia
45.7729774,14.2105836,Titova cesta,slovenia
45.3272445,14.4477395,Titov trg,croatia
45.2255416,13.5953093,Obala Maršala Tita,croatia
45.3283301,13.5628156,Ulica Josipa Broza Tita,croatia
45.8524455,15.8086332,Ulica Maršala Tita,croatia
45.3249252,13.5640349,Ulica Josipa Broza Tita,croatia
45.1487373,13.6011795,Obala m. Tita,croatia
45.713099,16.0670998,Trg maršala Tita,croatia
45.7137604,16.0671659,Trg maršala Tita,croatia
45.3412996,14.3109607,Maršala Tita,croatia
45.8343569,15.822892,Ulica Maršala Tita,croatia
45.8382093,15.820825900000001,Ulica Maršala Tita,croatia
45.2288341,13.5910696,Obala maršala Tita,croatia
45.1493588,13.6034249,Obala m. Tita,croatia
45.326898,14.299585,Maršala Tita,croatia
44.5470098,15.9689663,Ulica Maršala Tita,croatia
45.8101074,15.970746,Trg Maršala Tita,croatia
45.3366147,14.3078564,Maršala Tita,croatia
45.6482739,16.1332475,Maršala Tita,croatia
45.0791354,14.1553615,Obala Maršala Tita,croatia
45.0855421,14.1227106,Titov trg,croatia
45.3337279,14.3050085,Maršala Tita,croatia
45.3297048,14.301146,Maršala Tita,croatia
45.0791028,14.1550693,Obala Maršala Tita,croatia
45.1599004,14.71898,Maršala Tita,croatia
45.0734462,14.1643004,Obala Maršala Tita,croatia
45.330906,14.301721,Maršala Tita,croatia
45.9428689,17.3070494,Maršala Tita,croatia
45.3274648,14.4479831,Titov trg,croatia
45.3274572,14.4482779,Titov trg,croatia
45.810164,15.9695937,Trg Maršala Tita,croatia
45.8098823,15.9709201,Trg Maršala Tita,croatia
46.0233184,15.904779,Josipa Broza Tita,croatia
46.0222641,15.9056888,Ulica Josipa Broza Tita,croatia
45.3099439,14.2858899,Šetalište Maršala Tita,croatia
